translation,mode,da,word
bicycle,n,s,Fahrrad
bicycles,n,e,Fahrräder
tyre,n,r,Reifen
tyres,n,e,Reifen
break,n,e,Bremse
breaks,n,e,Bremsen
pedal,n,s,Pedal
pedals,n,e,Pedale
gear,n,e,Gangschaltung
gears,n,e,Gantschaltungen
chain,n,e,Kette
saddle,n,r,Sattel
bicycle light,n,s,Fahrradlicht
handlebar,n,s,Lenkrad
handlebar,n,r,Lenker
rusty,,,rostig
old,a,,alt
broken,a,,kaputt
unstable,a,,unstabil
uncomfortable,a,,unbequem
flat,a,,platt
My bicyle is broken.,s,,Mein Fahrrad ist kaputt.
My breaks don't work anymore.,s,,Meine Bremsen funktionieren nicht mehr.
My saddle is unstable.,s,,Mein Sattel ist unstabil.
My saddle is uncomfortable.,s,,Mein Sattel ist unbequem.
My pedals are too old.,s,,Meine Pedale sind zu alt.
My chain is rusty.,s,,Meine Kette ist rostig.
My tires are flat.,s,,Meine Reifen sind platt.
My front tire is flat.,s,,Mein Vorderreifen ist platt.
I can't change gears.,s,,Ich kann den Gang nicht mehr schalten.
dynamo,n,r,Dynamo
pump,n,e,Luftpumpe
gearbox,n,r,Umwerfer
racing bike,n,s,Rennrad